channelGrouping,date,visitNumber,month,year,visitHour,browser,operatingSystem,isMobile,deviceCategory,continent,subContinent,country,region,metro,city,networkDomain,hits,pageviews,bounces,newVisits,campaign,source,medium,keyword,transactionRevenue
3,2016-09-02,1,9,2016,21,5,9,0,0,3,19,126,32,0,41,1306,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,10,8,6,0,0,5,1,5,80,21,108,384,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,6,5,9,0,0,4,17,115,14,0,53,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,11,20,5,0,0,3,14,53,80,21,108,1355,1,1.0,1,1,0,20,4,44,0
3,2016-09-02,2,9,2016,18,5,1,1,1,4,12,131,80,21,108,1355,1,1.0,1,0,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,9,0,0,4,17,57,80,21,108,449,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,17,5,9,0,0,3,16,92,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,5,1,5,59,0,14,184,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,9,9,0,0,4,20,6,80,21,108,1144,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,8,9,0,0,4,20,85,80,21,108,259,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,2,3,16,52,80,21,108,63,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,2,18,6,0,0,4,20,39,80,21,108,1435,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,23,18,12,1,1,3,19,126,32,0,41,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,18,12,1,1,3,16,92,64,0,44,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,7,5,5,0,0,2,13,16,80,21,108,233,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,6,0,0,3,6,23,80,21,108,1355,1,1.0,1,1,0,8,4,16,0
3,2016-09-02,1,9,2016,12,5,9,0,0,4,20,85,80,21,108,573,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,20,9,9,0,0,4,20,39,29,0,70,830,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,9,0,0,3,14,109,0,0,92,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,4,5,9,0,0,2,13,3,9,0,16,954,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,9,0,0,4,7,98,80,21,108,1292,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,6,5,1,1,1,4,20,42,0,0,0,708,1,1.0,1,1,0,8,4,16,0
3,2016-09-02,1,9,2016,8,18,12,1,1,2,11,20,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,6,0,0,3,14,122,3,0,6,111,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,5,9,0,0,3,14,53,33,0,43,244,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,17,9,9,0,0,4,20,42,80,21,108,527,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,14,8,9,0,0,4,20,39,80,21,108,286,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,12,18,6,0,0,4,7,50,80,21,108,207,1,1.0,1,1,0,20,4,4,0
5,2016-09-02,1,9,2016,20,5,1,1,1,3,16,52,35,0,9,1355,1,1.0,1,1,0,31,5,16,0
3,2016-09-02,1,9,2016,23,5,9,0,0,3,14,73,80,21,108,1355,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,1,1,1,4,12,131,21,10,51,1271,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,21,9,9,0,0,4,12,31,80,21,108,1213,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,19,5,6,0,0,3,6,120,80,21,108,540,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,6,0,0,4,20,85,51,0,1,0,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,15,5,6,0,0,4,7,103,48,0,60,1013,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,13,5,9,0,0,4,20,6,80,21,108,185,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,1,18,89,80,21,108,0,1,1.0,1,1,0,20,4,98,0
3,2016-09-02,1,9,2016,9,5,9,0,0,5,1,5,80,21,108,1380,1,1.0,1,1,0,20,4,4,0
3,2016-09-02,1,9,2016,16,5,9,0,0,4,20,85,80,21,108,1378,1,1.0,1,1,0,20,4,4,0
